"Time [s]","$supplied_voltage []"
1.12454999999999,13.8454595999999
1.12589999999999,13.8620807999999
1.12724999999999,13.8787019999999
1.12859999999999,13.8953231999999
1.12994999999999,13.9119443999999
1.13129999999999,13.9285655999999
1.13264999999999,13.9451867999999
1.13399999999999,13.9618079999999
1.13534999999999,13.9784291999999
1.13669999999999,13.9950503999999
1.13804999999999,14.0116715999999
1.13939999999999,14.0282927999999
1.14074999999999,14.0449139999999
1.14209999999999,14.0615351999999
1.14344999999998,14.0781563999998
1.14479999999998,14.0947775999998
1.14614999999998,14.1113987999998
1.14749999999998,14.1280199999998
1.14884999999998,14.1446411999998
1.15019999999998,14.1612623999998
1.15154999999998,14.1778835999998
1.15289999999998,14.1945047999998
1.15424999999998,14.2111259999998
1.15559999999998,14.2277471999998
1.15694999999998,14.2443683999998
1.15829999999998,14.2609895999998
1.15964999999998,14.2776107999998
1.16099999999998,14.2942319999998
1.16234999999998,14.3108531999998
1.16369999999998,14.3274743999998
1.16504999999998,14.3440955999998
1.16639999999998,14.3607167999998
1.16774999999998,14.3773379999998
1.16909999999998,14.3939591999998
1.17044999999998,14.4105803999998
1.17179999999998,14.4272015999998
1.17314999999998,14.4438227999998
1.17449999999998,14.4604439999998
1.17584999999998,14.4770651999998
1.17719999999998,14.4936863999998
1.17854999999998,14.5103075999998
1.17989999999998,14.5269287999998
1.18124999999998,14.5435499999998
1.18259999999998,14.5601711999998
1.18394999999998,14.5767923999998
1.18529999999998,14.5934135999998
1.18664999999998,14.6100347999998
1.18799999999998,14.6266559999998
1.18934999999998,14.6432771999998
1.19069999999998,14.6598983999998
1.19204999999998,14.6765195999998
1.19339999999998,14.6931407999998
1.19474999999998,14.7097619999998
1.19609999999998,14.7263831999998
1.19744999999998,14.7430043999998
1.1988,14.7596256
1.20015,14.7762468
1.2015,14.792868
1.20285,14.8094892
1.2042,14.8261104
1.20555,14.8427316
1.2069,14.8593528
1.20825,14.875974
1.2096,14.8925952
1.21095,14.9092164
1.2123,14.9258376
1.21365,14.9424588
1.215,14.95908
1.21635,14.9757012
1.2177,14.9923224
1.21905,15.0089436
1.2204,15.0255648
1.22175,15.042186
1.2231,15.0588072
1.22445,15.0754284
1.2258,15.0920496
1.22715,15.1086708
1.2285,15.125292
1.22985,15.1419132
1.2312,15.1585344
1.23255,15.1751556
1.2339,15.1917768
1.23525,15.208398
1.2366,15.2250192
1.23795,15.2416404
1.2393,15.2582616
1.24065,15.2748828
1.242,15.291504
1.24335,15.3081252
1.2447,15.3247464
1.24605,15.3413676
1.2474,15.3579888
1.24875,15.37461
1.2501,15.3912312
1.25145,15.4078524
1.2528,15.4244736
1.25415,15.4410948
1.2555,15.457716
1.25685,15.4743372
1.2582,15.4909584
1.25955,15.5075796
1.2609,15.5242008
1.26225,15.540822
1.2636,15.5574432
1.26495,15.5740644
1.2663,15.5906856
1.26765,15.6073068
1.269,15.623928
1.27035,15.6405492
1.2717,15.6571704
1.27305,15.6737916
1.2744,15.6904128
1.27575,15.707034
1.2771,15.7236552
1.27845,15.7402764
1.2798,15.7568976
1.28115,15.7735188
1.2825,15.79014
1.28385,15.8067612
1.2852,15.8233824
1.28655,15.8400036
1.2879,15.8566248
1.28925,15.873246
1.2906,15.8898672
1.29195,15.9064884
1.2933,15.9231096
1.29465,15.9397308
1.296,15.956352
1.29735,15.9729732
1.2987,15.9895944
1.30005,16.0062156
1.3014,16.0228368
1.30275,16.039458
1.3041,16.0560792
1.30545,16.0727004
1.3068,16.0893216
1.30815,16.1059428
1.3095,16.122564
1.31085,16.1391852
1.3122,16.1558064
1.31355,16.1724276
1.3149,16.1890488
1.31625,16.20567
1.3176,16.2222912
1.31895,16.2389124
1.3203,16.2555336
1.32165,16.2721548
1.323,16.288776
1.32435,16.3053972
1.3257,16.3220184
1.32705,16.3386396
